"","age_upon_outcome","animal_id","animal_type","breed","color","date_of_birth","datetime","monthyear","name","outcome_subtype","outcome_type","sex_upon_outcome","location_lat","location_long","age_upon_outcome_in_weeks"
"125","1 year","A710766","Other","Bat Mix","Brown",2014-08-27,2015-08-27 14:23:00,"2015-08-27T14:23:00","","Rabies Risk","Euthanasia","Unknown",30.3604507067273,-97.7215797790163,52.2284722222222
"126","2 years","A691714","Dog","Chihuahua Shorthair Mix","Tricolor",2012-11-08,2015-02-23 13:25:00,"2015-02-23T13:25:00","Archer","Partner","Transfer","Neutered Male",30.7170832909092,-97.5545990393539,119.65128968254
"127","6 years","A645075","Dog","Labrador Retriever Mix","Chocolate",2008-01-02,2014-11-25 10:40:00,"2014-11-25T10:40:00","Bear","Aggressive","Euthanasia","Intact Male",30.2997127693808,-97.2776579966783,359.920634920635
"128","2 years","A731542","Dog","Pit Bull Mix","Brown Brindle/White",2014-07-23,2016-09-02 17:49:00,"2016-09-02T17:49:00","Roscoe","","Return to Owner","Neutered Male",30.5433475655082,-97.7398802569118,110.391765873016
"129","1 month","A745619","Dog","English Bulldog Mix","Black/White",2017-01-21,2017-03-23 16:08:00,"2017-03-23T16:08:00","","Partner","Transfer","Intact Female",30.7384386860991,-97.3251825953855,8.81031746031746
"130","2 years","A705676","Dog","Chihuahua Shorthair Mix","White/Tan",2013-06-20,2015-07-04 13:31:00,"2015-07-04T13:31:00","*Lacey","","Adoption","Spayed Female",30.6207598261223,-97.3035228787491,106.366170634921
"131","1 year","A692656","Dog","Labrador Retriever Mix","Yellow",2013-11-24,2014-12-04 17:26:00,"2014-12-04T17:26:00","Gordo","Partner","Transfer","Neutered Male",30.7000253572217,-97.4580303824567,53.6751984126984
"132","2 years","A684391","Dog","Jack Russell Terrier Mix","White/Black",2012-07-22,2014-08-22 18:25:00,"2014-08-22T18:25:00","","","Adoption","Neutered Male",30.7027611090138,-97.2688563198431,108.823908730159
"133","2 years","A753658","Dog","Beagle Mix","Red",2015-07-09,2017-07-11 11:49:00,"2017-07-11T11:49:00","","Partner","Transfer","Intact Female",30.5622872472876,-97.5857139240189,104.784623015873
"134","3 years","A731736","Dog","Pit Bull Mix","White",2013-07-26,2017-03-02 13:06:00,"2017-03-02T13:06:00","Novah","Partner","Transfer","Spayed Female",30.2860110453244,-97.3974800649621,187.935119047619
"135","2 months","A688274","Dog","Chihuahua Shorthair Mix","Sable/White",2014-07-17,2014-09-20 15:33:00,"2014-09-20T15:33:00","","Offsite","Adoption","Spayed Female",30.5013719729367,-97.5290782237142,9.37827380952381
"136","2 years","A750398","Dog","Chihuahua Shorthair Mix","White/Tan",2015-05-26,2017-05-30 18:04:00,"2017-05-30T18:04:00","","","Adoption","Neutered Male",30.7300586731676,-97.4257044644829,105.10753968254
"137","2 years","A765203","Other","Fox Mix","Brown",2016-01-15,2018-01-17 08:35:00,"2018-01-17T08:35:00","","","Euthanasia","Unknown",30.7063181762136,-97.6395911138919,104.765376984127
"138","4 months","A721005","Dog","Labrador Retriever Mix","Black",2015-10-19,2016-02-23 17:00:00,"2016-02-23T17:00:00","","","Adoption","Spayed Female",30.2762822724087,-97.5421990856216,18.2440476190476
"139","6 months","A690312","Cat","Domestic Shorthair Mix","Blue Tabby",2014-04-18,2014-10-20 09:00:00,"2014-10-20T09:00:00","","SCRP","Transfer","Intact Female",30.5281434401148,-97.6099646473041,26.4821428571429
"140","3 years","A759566","Dog","Chihuahua Shorthair/Rat Terrier","Cream",2014-04-03,2017-10-21 11:35:00,"2017-10-21T11:35:00","Hiro","","Adoption","Neutered Male",30.5402985788651,-97.4683484837394,185.354662698413
"141","10 months","A693176","Dog","Beagle Mix","Tan/White",2014-02-03,2014-12-07 17:06:00,"2014-12-07T17:06:00","Dakota","","Adoption","Spayed Female",30.598188083204,-97.3527498075993,43.9589285714286
"142","13 years","A634994","Cat","Domestic Shorthair Mix","Brown Tabby/White",2004-04-30,2017-04-30 15:50:00,"2017-04-30T15:50:00","Jolie","","Return to Owner","Spayed Female",30.6803901982203,-97.2490810391805,678.37996031746
"143","8 years","A710709","Dog","Australian Kelpie Mix","Black/Tan",2007-08-26,2015-09-13 16:02:00,"2015-09-13T16:02:00","*Gwen","","Adoption","Spayed Female",30.3210239119378,-97.2650488796071,420.095436507936
"144","7 years","A726589","Cat","Domestic Shorthair Mix","Black/White",2009-05-19,2016-11-12 14:56:00,"2016-11-12T14:56:00","Kramer","Foster","Adoption","Neutered Male",30.3459585977145,-97.2662997693196,390.660317460317
"145","2 months","A726388","Cat","Domestic Longhair Mix","Blue Tabby/White",2016-04-10,2016-06-28 16:50:00,"2016-06-28T16:50:00","*Cobalt","","Adoption","Spayed Female",30.3648152272534,-97.3592238955596,11.3859126984127
"146","3 months","A682162","Cat","Domestic Shorthair Mix","Calico",2014-03-25,2014-07-13 11:25:00,"2014-07-13T11:25:00","Khalesi","Foster","Adoption","Spayed Female",30.5135227488021,-97.2540720977238,15.7822420634921
"147","2 years","A663015","Dog","Miniature Pinscher Mix","Black/Tan",2011-09-11,2014-07-15 17:10:00,"2014-07-15T17:10:00","Bugs","","Adoption","Neutered Male",30.375856810502,-97.3029243157329,148.387896825397
"148","1 year","A691834","Dog","Miniature Schnauzer/Jack Russell Terrier","Brown/Black",2013-11-10,2015-01-20 18:53:00,"2015-01-20T18:53:00","Fifi","","Return to Owner","Spayed Female",30.6260431245272,-97.7165557634505,62.3981150793651
"149","12 years","A716224","Dog","Australian Shepherd Mix","Brown/Red Tick",2003-11-17,2015-11-17 16:45:00,"2015-11-17T16:45:00","Skylos","","Return to Owner","Neutered Male",30.7187957042982,-97.597589494932,626.24255952381
"150","8 years","A697686","Cat","Domestic Longhair Mix","Black/White",2007-02-26,2015-08-12 12:02:00,"2015-08-12T12:02:00","*Remy","Suffering","Euthanasia","Spayed Female",30.3358554363642,-97.5263389234764,441.357341269841
"151","2 months","A749815","Cat","Domestic Medium Hair Mix","Black",2017-04-20,2017-07-06 16:01:00,"2017-07-06T16:01:00","","Foster","Adoption","Spayed Female",30.4589401088343,-97.3632575027906,11.0953373015873
"152","2 years","A716434","Dog","Blue Lacy","Brown/White",2013-11-19,2015-11-27 18:58:00,"2015-11-27T18:58:00","*Bonnie","","Adoption","Spayed Female",30.4496654772435,-97.7284073197912,105.541468253968
"153","3 months","A749370","Cat","Domestic Medium Hair Mix","Tortie",2017-02-11,2017-05-18 17:37:00,"2017-05-18T17:37:00","","","Adoption","Spayed Female",30.2728841924667,-97.5476363340763,13.8191468253968
"154","3 years","A665831","Dog","Labrador Retriever/Pit Bull","Red",2013-03-23,2016-11-18 19:13:00,"2016-11-18T19:13:00","Smokey","","Return to Owner","Neutered Male",30.6068467712265,-97.7391478549189,190.971527777778
"155","4 months","A751678","Dog","Chihuahua Shorthair Mix","Cream",2017-02-11,2017-06-22 18:45:00,"2017-06-22T18:45:00","Canela","","Adoption","Spayed Female",30.7337071313739,-97.2448353283804,18.8258928571429
"156","1 weeks","A687008","Cat","Domestic Shorthair Mix","Black/White",2014-08-20,2014-08-30 12:58:00,"2014-08-30T12:58:00","","Partner","Transfer","Intact Male",30.7122662773393,-97.6104644122152,1.50575396825397
"157","2 weeks","A677571","Cat","Domestic Medium Hair Mix","Blue Tabby/White",2014-04-06,2014-04-26 15:25:00,"2014-04-26T15:25:00","","Partner","Transfer","Intact Male",30.6146728217413,-97.5934375860412,2.94890873015873
"158","7 months","A662943","Cat","Domestic Shorthair Mix","Black",2013-03-10,2013-10-13 18:25:00,"2013-10-13T18:25:00","*Harry","","Adoption","Neutered Male",30.3374667364797,-97.3310561633518,31.109623015873
"159","4 years","A703522","Dog","Miniature Schnauzer Mix","White",2010-12-25,2015-06-08 17:03:00,"2015-06-08T17:03:00","Bella","","Adoption","Spayed Female",30.4378132667954,-97.738699065889,232.387202380952
"160","1 year","A703739","Other","Rex Mix","Brown/White",2014-05-28,2015-06-03 09:37:00,"2015-06-03T09:37:00","","In Kennel","Died","Unknown",30.6526126557307,-97.6124455897478,53.0572420634921
"161","2 years","A696155","Dog","Pit Bull Mix","Red",2013-01-30,2015-12-05 12:30:00,"2015-12-05T12:30:00","Brurdaoex","","Return to Owner","Neutered Male",30.4738122017467,-97.7239313509781,148.502976190476
"162","2 months","A675365","Dog","Labrador Retriever Mix","Cream",2013-12-30,2014-03-30 18:16:00,"2014-03-30T18:16:00","","","Adoption","Spayed Female",30.7472369139409,-97.5575600447143,12.965873015873
"163","11 months","A659830","Dog","Labrador Retriever/Doberman Pinsch","Black",2013-07-23,2014-06-25 13:29:00,"2014-06-25T13:29:00","*Harry","Foster","Adoption","Neutered Male",30.5371509990629,-97.3977457821036,48.2231150793651
"164","1 weeks","A680705","Cat","Domestic Shorthair Mix","Black/White",2014-05-28,2014-06-06 14:39:00,"2014-06-06T14:39:00","","Partner","Transfer","Intact Male",30.3109124277385,-97.3413102096254,1.37291666666667
"165","3 years","A749468","Cat","Domestic Shorthair Mix","Orange Tabby",2014-05-15,2017-05-26 18:56:00,"2017-05-26T18:56:00","","Snr","Transfer","Neutered Male",30.6481837957809,-97.2924712565199,158.255555555556
"166","2 years","A742094","Other","Bat Mix","Brown",2015-01-14,2017-01-15 08:57:00,"2017-01-15T08:57:00","","Rabies Risk","Euthanasia","Unknown",30.7621670347794,-97.3402593503785,104.624702380952
"167","3 years","A715876","Dog","German Shepherd Mix","Black/Tan",2012-11-11,2015-11-25 11:49:00,"2015-11-25T11:49:00","Precious","","Adoption","Spayed Female",30.4623236405209,-97.492134692346,158.498908730159
"168","1 year","A709833","Cat","Domestic Shorthair Mix","Blue/White",2014-08-13,2015-08-14 09:00:00,"2015-08-14T09:00:00","","SCRP","Transfer","Unknown",30.2786365576964,-97.3794721755919,52.3392857142857
"169","2 months","A706256","Dog","German Shepherd Mix","Tan",2015-04-30,2015-07-02 17:40:00,"2015-07-02T17:40:00","*Groot","","Adoption","Neutered Male",30.2847573362114,-97.3290881626564,9.10515873015873
"170","4 months","A732728","Cat","Domestic Shorthair Mix","Black",2016-04-12,2016-08-13 16:42:00,"2016-08-13T16:42:00","","Partner","Transfer","Intact Male",30.3992966651604,-97.281742773002,17.6708333333333
"171","5 months","A711243","Cat","Domestic Shorthair Mix","Cream Tabby",2015-04-04,2015-09-05 09:00:00,"2015-09-05T09:00:00","","SCRP","Transfer","Intact Male",30.5349001279268,-97.2788283367211,22.0535714285714
"172","1 month","A692638","Dog","Australian Cattle Dog Mix","Blue Merle",2014-10-13,2014-12-08 18:30:00,"2014-12-08T18:30:00","","Foster","Adoption","Spayed Female",30.6733399366555,-97.6224281891079,8.11011904761905
"173","1 year","A684424","Cat","Domestic Shorthair Mix","Black",2013-07-23,2014-07-26 11:43:00,"2014-07-26T11:43:00","Midnight","Partner","Transfer","Intact Female",30.2862945286278,-97.3609955880439,52.6411706349206
"174","2 months","A680005","Dog","Australian Kelpie Mix","Tan/Black",2014-03-29,2014-06-01 18:16:00,"2014-06-01T18:16:00","","","Adoption","Neutered Male",30.3330431530739,-97.3993411581307,9.2515873015873
"175","2 years","A622351","Dog","Chihuahua Shorthair Mix","Brown",2011-08-19,2014-02-24 11:17:00,"2014-02-24T11:17:00","Alvin","Partner","Transfer","Intact Male",30.2805346347727,-97.729324693837,131.495734126984
"176","7 years","A565498","Dog","Rottweiler/Labrador Retriever","Black/Tan",2007-01-25,2014-02-05 15:49:00,"2014-02-05T15:49:00","Dukey","","Return to Owner","Neutered Male",30.3325214473316,-97.3408227605231,366.95128968254
"177","1 year","A673261","Dog","German Shepherd/Doberman Pinsch","Black/Tan",2013-02-21,2014-04-27 16:02:00,"2014-04-27T16:02:00","Danny","","Adoption","Neutered Male",30.4435852813888,-97.2467257317193,61.5240079365079
"178","1 month","A752260","Other","Raccoon Mix","Gray/Black",2017-04-20,2017-06-20 14:06:00,"2017-06-20T14:06:00","","Medical","Euthanasia","Unknown",30.5208836807217,-97.3829111269077,8.79821428571429
"179","2 months","A694422","Cat","Domestic Shorthair Mix","Calico",2014-11-15,2015-01-24 11:39:00,"2015-01-24T11:39:00","*Calla","Partner","Transfer","Spayed Female",30.3996452898953,-97.6759904066208,10.0693452380952
"180","5 years","A661631","Dog","Yorkshire Terrier/Yorkshire Terrier","Brown",2011-08-22,2017-03-04 18:14:00,"2017-03-04T18:14:00","Peke","","Adoption","Neutered Male",30.5278715168531,-97.5245128236609,288.822817460317
"181","2 months","A702839","Cat","Domestic Shorthair Mix","Tortie",2015-04-18,2015-07-18 16:47:00,"2015-07-18T16:47:00","*Tort","Foster","Adoption","Spayed Female",30.4012896274317,-97.2685305084698,13.0999007936508
"182","1 year","A755069","Other","Bat","Brown",2016-07-28,2017-07-31 09:48:00,"2017-07-31T09:48:00","","Rabies Risk","Euthanasia","Unknown",30.3505516808024,-97.629073913811,52.6297619047619
"183","2 years","A743493","Dog","Great Dane Mix","Black",2014-06-02,2017-02-11 15:18:00,"2017-02-11T15:18:00","King","","Return to Owner","Neutered Male",30.28973518132,-97.3077474289998,140.805357142857
"184","1 month","A751734","Cat","Domestic Shorthair Mix","Blue",2017-05-05,2017-06-18 17:24:00,"2017-06-18T17:24:00","*Hannah","Partner","Transfer","Intact Female",30.6453648395492,-97.4768101819083,6.38928571428571
"185","2 years","A716081","Dog","Pomeranian Mix","Buff",2013-11-13,2015-12-02 00:00:00,"2015-12-02T00:00:00","Baby Bear","Partner","Transfer","Intact Male",30.5245637908727,-97.4027157054253,107
"186","2 years","A686576","Dog","Labrador Retriever Mix","Buff",2012-08-23,2014-08-27 16:04:00,"2014-08-27T16:04:00","","Partner","Transfer","Spayed Female",30.6149908193774,-97.4403589392242,104.952777777778
"187","1 year","A705201","Dog","Cardigan Welsh Corgi Mix","White",2014-06-14,2015-06-28 17:51:00,"2015-06-28T17:51:00","Daisy","","Adoption","Spayed Female",30.5935347577517,-97.6056095089789,54.2491071428571
"188","3 years","A733000","Other","Bat","Brown",2013-08-16,2016-08-16 09:03:00,"2016-08-16T09:03:00","","Rabies Risk","Euthanasia","Unknown",30.6572747069527,-97.4992389662215,156.625297619048
"189","1 year","A719360","Dog","Labrador Retriever Mix","Black/White",2015-11-18,2017-07-16 23:09:00,"2017-07-16T23:09:00","Champ","","Adoption","Neutered Male",30.3150389276347,-97.6910305989839,86.7092261904762
"190","7 years","A726037","Dog","Chinese Sharpei Mix","Brown Brindle",2009-05-05,2016-05-05 13:37:00,"2016-05-05T13:37:00","Rocca","","Return to Owner","Spayed Female",30.700412543274,-97.2558615615983,365.366765873016
"191","8 months","A736057","Cat","Domestic Shorthair Mix","Blue Tabby",2016-03-03,2016-11-26 14:27:00,"2016-11-26T14:27:00","Devin","Partner","Transfer","Neutered Male",30.3222273347126,-97.5793202129649,38.3717261904762
"192","3 years","A684915","Dog","Maltese Mix","White",2011-07-30,2014-08-06 18:50:00,"2014-08-06T18:50:00","*Yogi","","Adoption","Neutered Male",30.4314685896323,-97.4199050876347,157.683531746032
"193","2 months","A728227","Dog","Pit Bull Mix","Brown",2016-04-01,2016-06-06 15:04:00,"2016-06-06T15:04:00","","","Adoption","Spayed Female",30.7293584939239,-97.6420311147876,9.51825396825397
"194","1 year","A686233","Cat","Domestic Shorthair Mix","Blue Tabby/White",2013-02-18,2014-10-14 14:52:00,"2014-10-14T14:52:00","Marvin","Partner","Transfer","Neutered Male",30.6153418572226,-97.6726939542922,86.2313492063492
"195","1 year","A763060","Dog","Pit Bull Mix","White",2016-12-02,2018-01-09 17:46:00,"2018-01-09T17:46:00","*Cambria","Foster","Adoption","Spayed Female",30.3270551121256,-97.6846677015017,57.6771825396825
"196","1 year","A750139","Cat","Domestic Shorthair Mix","Black",2015-11-23,2017-06-09 12:52:00,"2017-06-09T12:52:00","","Partner","Transfer","Neutered Male",30.5283619377874,-97.540507381297,80.6480158730159
"197","2 years","A758439","Dog","Staffordshire Mix","Fawn",2015-09-16,2017-11-16 11:10:00,"2017-11-16T11:10:00","Bae","","Adoption","Spayed Female",30.5073786093574,-97.4444393338415,113.209325396825
"198","8 years","A758897","Dog","Miniature Pinscher Mix","Black",2009-09-23,2017-09-24 14:50:00,"2017-09-24T14:50:00","Dumpling","Partner","Transfer","Intact Female",30.4274402538333,-97.6948322037219,417.659722222222
"199","2 years","A675506","Cat","Domestic Shorthair Mix","Black",2012-03-28,2014-04-01 13:21:00,"2014-04-01T13:21:00","Justice","","Return to Owner","Neutered Male",30.5521421058339,-97.5272800778707,104.936607142857
"200","5 years","A765802","Cat","Domestic Longhair Mix","Black/White",2013-01-27,2018-01-31 18:05:00,"2018-01-31T18:05:00","","Snr","Transfer","Neutered Male",30.7370483362686,-97.5902393821583,261.53621031746
"201","6 years","A548770","Cat","Domestic Shorthair Mix","Orange Tabby/White",2007-07-05,2013-11-05 15:19:00,"2013-11-05T15:19:00","Firecat","Rabies Risk","Euthanasia","Neutered Male",30.3603234627335,-97.3852396885786,330.805456349206
"202","1 year","A739227","Cat","Domestic Shorthair Mix","Gray/White",2015-11-29,2016-11-30 09:00:00,"2016-11-30T09:00:00","","SCRP","Transfer","Intact Female",30.5722028932341,-97.5933318690364,52.4821428571429
"203","5 years","A670612","Dog","Beagle","Brown/White",2011-09-04,2016-11-18 14:08:00,"2016-11-18T14:08:00","Sheila","","Return to Owner","Intact Female",30.2699279984557,-97.7111078422398,271.798412698413
"204","3 years","A675567","Dog","Siberian Husky Mix","Black/White",2010-11-24,2014-03-30 08:56:00,"2014-03-30T08:56:00","Lola","","Return to Owner","Spayed Female",30.537356167583,-97.503474247087,174.624603174603
"205","2 months","A707763","Cat","Domestic Shorthair Mix","Cream Tabby",2015-04-26,2015-07-19 13:48:00,"2015-07-19T13:48:00","Tinkerbell","Foster","Adoption","Spayed Female",30.319205150557,-97.6117700064536,12.0821428571429
"206","1 year","A733433","Other","Bat","Black/Brown",2015-08-21,2016-08-21 16:42:00,"2016-08-21T16:42:00","","Rabies Risk","Euthanasia","Unknown",30.2704578397607,-97.6566753868473,52.385119047619
"207","4 weeks","A679691","Other","Bat","Brown/Black",2014-04-24,2014-05-25 09:38:00,"2014-05-25T09:38:00","","In Kennel","Died","Unknown",30.3688179392363,-97.6597670158339,4.4859126984127
"208","1 year","A762373","Dog","Pit Bull Mix","Brown Brindle/Black",2016-11-19,2017-11-19 14:29:00,"2017-11-19T14:29:00","Tiny","","Return to Owner","Intact Female",30.3623540304887,-97.2596542623425,52.2290674603175
"209","5 years","A718671","Cat","Domestic Shorthair Mix","Blue Tabby",2011-01-04,2016-01-11 18:49:00,"2016-01-11T18:49:00","Boris","","Adoption","Neutered Male",30.4085970968162,-97.2638299156814,261.969146825397
"210","3 years","A707346","Dog","Chihuahua Shorthair Mix","Chocolate/White",2012-07-11,2015-07-15 12:12:00,"2015-07-15T12:12:00","*Elsie","","Adoption","Spayed Female",30.3049972612122,-97.3410130971864,157.072619047619
"211","1 year","A713751","Cat","Domestic Medium Hair Mix","Brown Tabby",2014-10-12,2015-10-21 13:37:00,"2015-10-21T13:37:00","Big Boy","Partner","Transfer","Neutered Male",30.4985897546543,-97.7209223854854,53.509623015873
